"""sea grant"" AND ""acidification""",ocean acidification sea grant
Alaska Sea Grant Awards Over $1 Million for Research,Scientist Creates New Hypothesis On Ocean Acidification
University of Maine: Research Reveals Genetic Response of Ocean Warming and Acidification in American Lobster,Monitoring the progress of ocean acidification
"Fearing a threat to shellfish industry, Washington Legislature provides funds for kelp, eelgrass protection",University of Maine: Research Reveals Genetic Response of Ocean Warming and Acidification in American Lobster
Scientists Use App to Engage Citizens in Ocean Acidification Study,Ocean Acidification: NSF awards $11.4 Million in New Grants to Study Effects on Marine Ecosystems
Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceans react to the effects of the waters' warming and acidification.,"Written Statement Of Kathryn Sullivan, Ph.D. Acting Under Secretary Of Commerce For Oceans And Atmosphere And Acting NOAA Administrator Before The Subcommittee On Fisheries, Wildlife, Oceans, And Insular Affairs Committee On Natural Resources"
Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast,Scientists Use App to Engage Citizens in Ocean Acidification Study
Lobster babies can teach lessons on climate change,Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceans react to the effects of the waters' warming and acidification.
State-of-the-art Ocean Chemistry Monitoring Comes to Humboldt Bay,"Southern Ocean's Role in Climate Regulation, Ocean Health is Goal of $21 Million Federal Grant"
Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters,Monitoring the progress of ocean acidification
Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference,State-of-the-art Ocean Chemistry Monitoring Comes to Humboldt Bay
Oregon Sea Grant Announces 2016-18 Research Grant Recipients,'Sea butterflies' are part of effort to better understand changing oceans
Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects,Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference
"SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON COAST GUARD, COMMERCE, NTSB, MARINE MAMMAL AND AMTRAK NOMINATIONS",Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2)
Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs,Oregon Sea Grant Announces 2016-18 Research Grant Recipients
Earth Day Awards honor local efforts,Bainbridge nonprofit gets $1.5M grant
"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy",Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects
"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",NOAA Announces Grants to Predict Ocean Acidification's Effects on Commercial Fisheries
Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House,NSF Awards Grants to Study Effects of Ocean Acidification
Maine finally addressing climate change in the gulf,"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
Hawaii corals found to be more resilient than first thought,Press Release: XL Catlin announces Ocean Risk Grants for Early Career Scientists
"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote",Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House
Virtually convinced on global warming,"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote"
State largely ignores role as seas grow more acidic,Researchers tackle data gaps in ocean acidification impacts
$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture,Ocean lab may close
University of Washington: Ocean Acidification Impacts Oysters' Memory of Environmental Stress,State largely ignores role as seas grow more acidic
Ocean Acidification Discussion on Tap at Corvallis Science Pub,$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture
"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)",University of Washington: Ocean Acidification Impacts Oysters' Memory of Environmental Stress
Texas A&M University: Sediment Cores From Ocean Floor Could Contain 23M Year Old Climate Change Clues,Ocean Acidification Discussion on Tap at Corvallis Science Pub
Maine finally addressing climate change in the gulf,THE WORLD; An oceanic train wreck looms; Scientists are alarmed at how quickly carbon dioxide from the atmosphere is pushing the seas toward a great unraveling.
"Senate Appropriations Committee Issues Report on 2020 Commerce, Justice, Science Appropriations Bill (Part 3 of 10)",NSF Awards Grants to Scripps Scientists to Study Effects of Ocean Acidification
Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations,State Department of Environmental Conservation Releases Final Ocean Action Plan for New York
Maine finally addressing climate change in the gulf,Britain joins battle to save creatures of the frozen seas
Sen. Murkowski Introduces Bill to Address Ocean Acidification,"Southern Ocean's Role in Climate Regulation, Ocean Health Goal of $21 Million Federal Grant"
"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)",Sen. Murkowski Introduces Bill to Address Ocean Acidification
Alaska Sea Grant: New Video Focuses on Alaska's Acidifying Oceans,Alaska Sea Grant: New Video Focuses on Alaska's Acidifying Oceans
Maine finally addressing climate change in the gulf,"Southern Ocean's Role in Climate Regulation, Ocean Health Goal of $21 Million Federal Grant"
NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies,Ocean Acidification: Finding New Answers Through National Science Foundation Research Grants
USING VR TO SHOW CLIMATE REALITY,Website launched to monitor ocean acidification off Alaska
"Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery",NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies
"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative",USING VR TO SHOW CLIMATE REALITY
Deeper EPA cuts pose a particular menace to Maine,UAF increases research into ocean acidification
Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery,Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2)
Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs,Tiny Bainbridge nonprofit gets $1.5M grant
"Maine Sea Grant, University of Maine Advance $2M Initiative Aimed at Increasing Resilience in the Lobster Fishery",Fighting Ocean Acidification Through Kelp
Ocean's acidity causes concern for shellfish,$11.25 Million Funding Available for Ocean Acidification Studies
SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Ocean Acidification: Making New Discoveries Through National Science Foundation Research Grants
"DEC and New York Sea Grant Announce Nearly $570,000 in New York Ocean Research Grants",Sea Champion for Ocean and Air Post
Rep. Pingree's Bipartisan Legislation to Protect America's Working Waterfronts Passes House,Western's Shannon Point Marine Center Awarded Grant to Study the Impacts of Ocean Acidification
House Select Committee on Climate Crisis Issues Testimony From Under Secretary of Commerce Spinrad,Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 2 of 2)
Marine Biological Laboratory: Can Growing Seaweed Protect Shellfish Farms As Climate Warms? The Roberson Lab Is Finding Out,"Sea Champion Picked for Ocean, Air Agency"
VIMS scientists track climate toll on lobster,Nutrient Pollution Makes Ocean Acidification Worse for Coral Reefs
"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it.""",Ocean's acidity causes concern for shellfish
"Tasty and Pink, Sea Urchin Species May Be a Climate-Tolerant Food Source",Ocean Acidification May Reduce Sea Scallop Fisheries
