coastal acidification sea grant,"""sea grant"" AND ""acidification"""
Alaska Sea Grant Awards Over $1 Million for Research,Alaska Sea Grant Awards Over $1 Million for Research
Farming Alaskaâ€™s seas,University of Maine: Research Reveals Genetic Response of Ocean Warming and Acidification in American Lobster
Monitoring the progress of ocean acidification,"Fearing a threat to shellfish industry, Washington Legislature provides funds for kelp, eelgrass protection"
"With NSF Grant, UCLA Scientists to Predict Climate Change in Key Coastal Regions Around the World",Scientists Use App to Engage Citizens in Ocean Acidification Study
NSF Awards $13 Million in Third Set of Coastal Sustainability Grants,Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceans react to the effects of the waters' warming and acidification.
Monitoring the progress of ocean acidification,Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast
New Report Shows Ocean Resources and Coastal Communities Are Vital to Overall U.S. Economy yet Climate Change Poses Major Threat,Lobster babies can teach lessons on climate change
Tuna could replace cod by 2050 due to warmer Scottish seas,State-of-the-art Ocean Chemistry Monitoring Comes to Humboldt Bay
Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters,Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters
Congressional Research Service: 'Federal Involvement in Ocean-Based Research & Development' (Part 1 of 2),Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference
Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference,Oregon Sea Grant Announces 2016-18 Research Grant Recipients
"Sen. Cantwell: NOAA Announces $3.31 Billion Investment in Coastal Resilience, Salmon Recovery, and Infrastructure - Largest in Agency's History",Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects
Oregon Sea Grant Announces 2016-18 Research Grant Recipients,"SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON COAST GUARD, COMMERCE, NTSB, MARINE MAMMAL AND AMTRAK NOMINATIONS"
Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects,Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs
NOAA Announces Grants to Predict Ocean Acidification's Effects on Commercial Fisheries,Earth Day Awards honor local efforts
Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs,"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy"
NSF Awards Grants to Study Effects of Ocean Acidification,"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House
United States: United States Announces Commitments at Seventh Our Ocean Conference,Maine finally addressing climate change in the gulf
Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House,Hawaii corals found to be more resilient than first thought
"Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts","Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote"
State largely ignores role as seas grow more acidic,Virtually convinced on global warming
$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture,State largely ignores role as seas grow more acidic
"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts",$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture
"Rep. Panetta Announces NOAA Federal Grant for the University of California, Santa Cruz",University of Washington: Ocean Acidification Impacts Oysters' Memory of Environmental Stress
"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)",Ocean Acidification Discussion on Tap at Corvallis Science Pub
State's coastal economy worth preserving,"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)"
House Science Subcommittee Issues Testimony From Ocean Conservancy,Texas A&M University: Sediment Cores From Ocean Floor Could Contain 23M Year Old Climate Change Clues
