"Factiva- ""sea grant"" AND ""acidification""","ProQuest- ""sea grant"" AND ""acidification"""
Limnology; Investigators from Boston University Target Limnology (Coastal Acidification Alters Estuarine Sediment Nitrous Oxide and Methane Fluxes),Alaska Sea Grant Awards Over $1 Million for Research
NOAA - Climate: A media resource guide,University of Maine: Research Reveals Genetic Response of Ocean Warming and Acidification in American Lobster
"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocatingg fo... and the U.S. Geological Survey.","Fearing a threat to shellfish industry, Washington Legislature provides funds for kelp, eelgrass protection"
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,Scientists Use App to Engage Citizens in Ocean Acidification Study
"MIL-OSI USA: King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceans react to the effects of the waters' warming and acidification.
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities; Sen. Angus King (I-ME) News Release",Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities; Rep. Chellie Pingree (D-ME) News Release",Lobster babies can teach lessons on climate change
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities; Sen. Angus King (I-ME) News Release",State-of-the-art Ocean Chemistry Monitoring Comes to Humboldt Bay
"Angus S. Jr. King - King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters
"Chellie Pingree - King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference
NOAA - Biden-Harris Administration recommends funding of $7.6 million for projects in Maine to strengthen Climate-Ready Coasts as part of...,Oregon Sea Grant Announces 2016-18 Research Grant Recipients
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects
Biotechnology - siRNA-Based Therapy; Findings in RNAi-Based Therapy Reported from State University of New York - Stony Brook University... Acidification ),"SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON COAST GUARD, COMMERCE, NTSB, MARINE MAMMAL AND AMTRAK NOMINATIONS"
"MIL-OSI Global: Hurricane Harvey more than doubled the acidity of Texas’ Galveston Bay, threatening oyster reefs",Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs
"Hurricane Harvey more than doubled the acidity of Texas' Galveston Bay, threatening oyster reefs",Earth Day Awards honor local efforts
National Marine Fisheries Service - Swinomish Clam Garden to Bolster Littleneck Clam Populations,"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy"
INSIGHT EU ENVIRONMENT Monitoring - 26 October 2022,"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification"
NOAA - Get a taste of Seafood Month: Explore and learn from West Coast experts,Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House
National Marine Fisheries Service - Ensuring a Future for Seafood in a Changing Ocean: Part 2,Maine finally addressing climate change in the gulf
"The Zoom Where It Happens: Using a Virtual, Mixed-Methods Focus Group Approach to Assess Community Weil-Being in Natural Resource Contexts",Hawaii corals found to be more resilient than first thought
National Marine Fisheries Service - How to Save an Island from Climate Change,"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote"
Science - Earth Sciences; Research Conducted at University of Maine Has Provided New Information about Earth Sciences (The Impact of Oyster...,Virtually convinced on global warming
