Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,Abstract,DocumentUrl
Alaska Sea Grant Awards Over $1 Million for Research,,,Targeted News Service,Wire Feeds,,,,1/23/2018,23-Jan-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/1990481561?accountid=12492&bdid=39766&_bd=sTrYU4etn1lhABpAXYEPxzixrwA%3D
University of Maine: Research Reveals Genetic Response of Ocean Warming and Acidification in American Lobster,,,Targeted News Service,Wire Feeds,,,,1/29/2021,29-Jan-21,,,,,,,ENG,,https://www.proquest.com/docview/2482641294?accountid=12492&bdid=39766&_bd=v9FIpszAL7IrIwFymrhv%2Ba%2FIKGI%3D
"Fearing a threat to shellfish industry, Washington Legislature provides funds for kelp, eelgrass protection",,"Demkovich, Laurel",TCA Regional News,Wire Feeds,,,,4/11/2022,11-Apr-22,,,,,,,ENG,,https://www.proquest.com/docview/2649049098?accountid=12492&bdid=39766&_bd=arOp1u750M9xEssMVXaa6PPTAgI%3D
Scientists Use App to Engage Citizens in Ocean Acidification Study,,,Targeted News Service,Wire Feeds,,,,10/19/2018,19-Oct-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2123040941?accountid=12492&bdid=39766&_bd=g1iLaWTGUYsyhVSvGDQ3elP3LOk%3D
Study suggests baby lobsters may be adaptable to changes in Gulf of Maine Researchers examined how genes in post-larval crustaceans react to the effects of the waters' warming and acidification.,,"LaClaire, Hannah",Portland Press Herald,Newspapers,,,,1/29/2021,29-Jan-21,A.1,,,26895900,,,ENG,,https://www.proquest.com/docview/2482479138?accountid=12492&bdid=39766&_bd=HPgiW142syUflx3fsbX4y8XHczg%3D
Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast,,"Theen, Andrew",The Oregonian,Newspapers,,,,2/23/2018,23-Feb-18,1,,,8750-1317,,,ENG,,https://www.proquest.com/docview/2035259101?accountid=12492&bdid=39766&_bd=pbElfB3%2Ba7r9F3WwyOqrTd2KyoY%3D
Lobster babies can teach lessons on climate change,,"Hafner, Katherine",Capital,Newspapers,,,,1/3/2021,3-Jan-21,A.7,,,,,,ENG,,https://www.proquest.com/docview/2474596976?accountid=12492&bdid=39766&_bd=DSnty%2Fo%2FjZNrm8fSr5Sv3WFrdPA%3D
State-of-the-art Ocean Chemistry Monitoring Comes to Humboldt Bay,,,Targeted News Service,Wire Feeds,,,,5/24/2018,24-May-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2043694113?accountid=12492&bdid=39766&_bd=lSnSXSoG%2FVIFHDozI9URzuDrFYs%3D
Texas A&M-Corpus Christi Life Sciences Professor Earns Prestigious NSF Grant to Study Oysters,,,Targeted News Service,Wire Feeds,,,,10/1/2021,1-Oct-21,,,,,,,ENG,,https://www.proquest.com/docview/2578173132?accountid=12492&bdid=39766&_bd=%2BXnVHWn%2FUCbbAYT%2FCXWOCknNtjI%3D
Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference,,,Targeted News Service,Wire Feeds,,,,10/20/2011,20-Oct-11,n/a,,,,,,ENG,,https://www.proquest.com/docview/899297094?accountid=12492&bdid=39766&_bd=jOUfexuKjqPG10a8Lva9ALVdXjM%3D
Oregon Sea Grant Announces 2016-18 Research Grant Recipients,,,Targeted News Service,Wire Feeds,,,,12/15/2015,15-Dec-15,n/a,,,,,,ENG,,https://www.proquest.com/docview/1749058768?accountid=12492&bdid=39766&_bd=6Dt%2Fws519AYt05WYQUkghjHMKQ0%3D
Oregon State University: Oregon Sea Grant Awards $1.15 Million to Researchers for Five Marine-Related Projects,,,Targeted News Service,Wire Feeds,,,,3/12/2020,12-Mar-20,,,,,,,ENG,,https://www.proquest.com/docview/2376206316?accountid=12492&bdid=39766&_bd=qgiJdISPrqqUdpM87C%2B1uyRoUsQ%3D
"SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON COAST GUARD, COMMERCE, NTSB, MARINE MAMMAL AND AMTRAK NOMINATIONS",,,Political Transcript Wire,Wire Feeds,,,,3/22/2010,22-Mar-10,n/a,,,,,,ENG,,https://www.proquest.com/docview/467130400?accountid=12492&bdid=39766&_bd=NNh89Uq8jP9ib8R%2FLiEn3Np3BhA%3D
Rep. Kilmer Joins Bipartisan Call for $10B Investment in Coastal Restoration Jobs,,,Targeted News Service,Wire Feeds,,,,4/2/2021,2-Apr-21,,,,,,,ENG,,https://www.proquest.com/docview/2507956470?accountid=12492&bdid=39766&_bd=XLgQUeBBzczYz%2FqcCkmvZkWBmJI%3D
Earth Day Awards honor local efforts,,"Dunagan, Christopher",McClatchy - Tribune Business News,Wire Feeds,,,,4/22/2013,22-Apr-13,n/a,,,,,,ENG,"The Earth Day Awards are presented annually in a variety of categories to recognize ""outstanding achievers"" in recycling, environmental education, waste reduction and hazardous waste management, according to Toni Fuller of Kitsap County Public Works.  Barb Bromley: A fourth-grade teacher at Clear Creek Elementary, Bromley leads her students in many Earth Day projects, from serving as Washington Sea Grant's ""invasive species investigators"" to studying the effects of ocean acidification on shellfish.",https://www.proquest.com/docview/1334991840?accountid=12492&bdid=39766&_bd=ciRwxuLSpe6FSCo5Hd180qdXcvw%3D
"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy",,"Trotter, Bill",McClatchy - Tribune Business News,Wire Feeds,,,,3/6/2010,6-Mar-10,n/a,,,,,,ENG,"According to industry officials, fishermen generally are sell-ing their shrimp for more than 50 cents a pound this winter, which is about a dime higher than last year's average price.",https://www.proquest.com/docview/458535870?accountid=12492&bdid=39766&_bd=E0SKg2BCUDEucmvQrn3VbUpUVqc%3D
"Kilmer, Herrera Beutler, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",,,Targeted News Service,Wire Feeds,,,,3/28/2019,28-Mar-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2199251275?accountid=12492&bdid=39766&_bd=EEZpf3Ud88wBq01uMt54jTMIE%2Fo%3D
Rep. Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Passes House,,,Targeted News Service,Wire Feeds,,,,6/5/2019,5-Jun-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2235556676?accountid=12492&bdid=39766&_bd=xd97N7GJPpOP3g6B4dmav%2Fc5lNw%3D
Maine finally addressing climate change in the gulf,,"Woodard, Colin",TCA Regional News,Wire Feeds,,,,9/16/2019,16-Sep-19,,,,,,,ENG,,https://www.proquest.com/docview/2290710048?accountid=12492&bdid=39766&_bd=lLLIJxevN7zepm49P1muQYVd6Gg%3D
Hawaii corals found to be more resilient than first thought,,"Hurley, Timothy",Honolulu Star - Advertiser,Newspapers,,,,3/21/2022,21-Mar-22,,,,,,,ENG,,https://www.proquest.com/docview/2640945723?accountid=12492&bdid=39766&_bd=2RquS6LfcJFGskMoEhImzXPIMdU%3D
"Jaime Herrera Beutler's Bipartisan Bill to Fight Ocean Acidification Approved By Committee, Ready for Full House Vote",,,Targeted News Service,Wire Feeds,,,,5/1/2019,1-May-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2218352170?accountid=12492&bdid=39766&_bd=W1o7nt9Uh8yAjNC%2F0TNqbZjDkwc%3D
Virtually convinced on global warming,Scientists are using virtual reality to help non-scientists see the effects of climate change,"Williams, Lauren",Orange County Register,Newspapers,,,,2/20/2017,20-Feb-17,n/a,,,8864934,,,ENG,"Scientists generally agree that the increasingly likely effects of global warming - everything from rising seas and extreme storms and droughts to the spread of diseases and starvation - are, in fact, bigger hurdles.Mind games In November, the USC Sea Grant, in partnership with the U.S. Geological Survey, set up a virtual reality headset on the Santa Monica Pier.Dubbed the Owl, the lenses of the mounted binoculars showed four projections including what the beach looked like in the 1920s, what it could look like in a big storm under current conditions and then, with sea level rise, what a major storm could do to the beach.The lab also teaches people about ocean acidification - chemical changes caused primarily by the absorption of carbon dioxide in the atmosphere, which, in turn, is harming sea life - by transporting people via virtual ""field trips"" to underwater ecosystems being destroyed.The future is happening right now,"" Finzi Hart said. virtual virtual Caption: MARK RIGHTMIRE, STAFF PHOTOGRAPHER; Juliette Finzi Hart with the U.S. Geological Survey sets up a 360-degree video camera on loan from Google to record a high tide in the Bolsa Chica wetlands on Feb. 9.",https://www.proquest.com/docview/1870169490?accountid=12492&bdid=39766&_bd=wpFG%2BR5pTkLAj7YPZ65M4yrwF2k%3D
State largely ignores role as seas grow more acidic,"Despite a bipartisan recognition of a threat to Maine's shellfish industry, leadership on the issue has fallen to a group of concerned volunteers.","Woodard, Colin",Portland Press Herald,Newspapers,,,,11/19/2017,19-Nov-17,A.1,,,26895900,,,ENG,,https://www.proquest.com/docview/1965753339?accountid=12492&bdid=39766&_bd=N3sfVHZDTjZstirB2g3wglm70x4%3D
$2 Million Available in Grants/Cooperative Agreements for Addressing Impacts of Multiple Stressors on Shellfish Aquaculture,,,Targeted News Service,Wire Feeds,,,,10/20/2020,20-Oct-20,,,,,,,ENG,,https://www.proquest.com/docview/2452090646?accountid=12492&bdid=39766&_bd=CJzh83Jgo2Iufp6IbRUc79yh3iU%3D
University of Washington: Ocean Acidification Impacts Oysters' Memory of Environmental Stress,,,Targeted News Service,Wire Feeds,,,,3/13/2020,13-Mar-20,,,,,,,ENG,,https://www.proquest.com/docview/2376704994?accountid=12492&bdid=39766&_bd=D3A8e44vVBC2QgO9FBKJiE5ARJc%3D
Ocean Acidification Discussion on Tap at Corvallis Science Pub,,,Targeted News Service,Wire Feeds,,,,5/5/2015,5-May-15,n/a,,,,,,ENG,,https://www.proquest.com/docview/1678718695?accountid=12492&bdid=39766&_bd=1oNCNywrvMN9JT2IfEz5DldTnYQ%3D
"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)",,,Targeted News Service,Wire Feeds,,,,6/7/2019,7-Jun-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2236136007?accountid=12492&bdid=39766&_bd=T9X13osxMkslC9lx3iVrOSD2JS4%3D
Texas A&M University: Sediment Cores From Ocean Floor Could Contain 23M Year Old Climate Change Clues,,,Targeted News Service,Wire Feeds,,,,2/17/2022,17-Feb-22,,,,,,,ENG,,https://www.proquest.com/docview/2633233272?accountid=12492&bdid=39766&_bd=2ZIbP8bOz18miiabbXVQC5GE3qA%3D
Maine finally addressing climate change in the gulf,,"Woodard, Colin",Kennebec Journal,Newspapers,,,,9/16/2019,16-Sep-19,1.A,,,7452039,,,ENG,,https://www.proquest.com/docview/2290691827?accountid=12492&bdid=39766&_bd=PBl9xr9R7VLcG85GLIBU5UnP7jM%3D
"Senate Appropriations Committee Issues Report on 2020 Commerce, Justice, Science Appropriations Bill (Part 3 of 10)",,,Targeted News Service,Wire Feeds,,,,10/1/2019,1-Oct-19,,,,,,,ENG,,https://www.proquest.com/docview/2299409208?accountid=12492&bdid=39766&_bd=QluhJpbJ%2Fbz71pq8PnIgqQgT%2F4o%3D
Greality: Greeley native earns funding to study ocean; distillery earns award; Assistance League accepting donations,,,TCA Regional News,Wire Feeds,,,,2/27/2017,27-Feb-17,n/a,,,,,,ENG,"Feb. 27--Greeley native Joe Tyburczy, now a sea grant specialist for northern California and an adjunct in the Department of Biological Sciences at Humboldt State University, was awarded funding by the Ocean Protection Council to study ocean acidification in Humboldt Bay in northern California. Tyburczy will lead measurement of how the carbonate chemistry of seawater changes as it flows over eelgrass beds Tyburczy is a charter member of the Humboldt Marine and Coastal Science Institute....",https://www.proquest.com/docview/1872228579?accountid=12492&bdid=39766&_bd=scezu56c1L%2FjlIZwTy06F9gpn0g%3D
Maine finally addressing climate change in the gulf,,"Woodard, Colin",Morning Sentinel,Newspapers,,,,9/17/2019,17-Sep-19,2.B,,,,,,ENG,,https://www.proquest.com/docview/2291222753?accountid=12492&bdid=39766&_bd=Creueti673FmoQQpfHJ0shgRnrk%3D
Sen. Murkowski Introduces Bill to Address Ocean Acidification,,,Targeted News Service,Wire Feeds,,,,3/14/2019,14-Mar-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2191839526?accountid=12492&bdid=39766&_bd=5GTVrySsVFL%2FyPP5IcEFTagF1%2BQ%3D
"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)",,,Targeted News Service,Wire Feeds,,,,1/29/2022,29-Jan-22,,,,,,,ENG,,https://www.proquest.com/docview/2623609199?accountid=12492&bdid=39766&_bd=BlC%2F1acV0514gSiCbCr7H%2FJ4cf0%3D
Alaska Sea Grant: New Video Focuses on Alaska's Acidifying Oceans,,,Targeted News Service,Wire Feeds,,,,8/26/2019,26-Aug-19,,,,,,,ENG,,https://www.proquest.com/docview/2282917651?accountid=12492&bdid=39766&_bd=lky4dsmU99YMymu1qi2Y1Zaii%2BM%3D
Maine finally addressing climate change in the gulf,,"Woodard, Colin",Morning Sentinel,Newspapers,,,,9/16/2019,16-Sep-19,1.A,,,,,,ENG,,https://www.proquest.com/docview/2290694261?accountid=12492&bdid=39766&_bd=H7NEdQzRHp53VNtJJiLpdOQKgl0%3D
NOAA Sea Grant Liaisons Address Critical Research Areas Across Federal Agencies,,,Targeted News Service,Wire Feeds,,,,9/9/2021,9-Sep-21,,,,,,,ENG,,https://www.proquest.com/docview/2570361068?accountid=12492&bdid=39766&_bd=BJSSuQVgDEOLa3pTy0c54nU1Mdo%3D
USING VR TO SHOW CLIMATE REALITY,"Global warming's breadth makes it hard for people to accept, but scientists are out to convince them by using a rising technology.","Williams, Lauren; The Lrange County Negister",Dayton Daily News,Newspapers,,,,4/7/2017,7-Apr-17,SA.1,,,8970920,,,ENG,"Scientists generally agree that the increasingly likely effects of global warming -- everything from rising seas and extreme storms and droughts to the spread of diseases and starvation -- are, in fact, bigger hurdles. ""VR is bridging the gap,"" said Nick Sadrpour, a science, research and policy specialist with the Sea Grant program at the University of Southern California. Fooling your senses In November 2016, the USC Sea Grant, in partnership with the U.S. Geological Survey, set up a virtual reality headset on the Santa Monica Pier. Dubbed the Owl, the lenses of the mounted binoculars showed four projections including what the beach looked like in the 1920s, what it could look like in a big storm under current conditions and then, with sea level rise, what a major storm could do to the beach in the future. The lab also teaches people about ocean acidification -- the killing of ocean life because of greenhouse gases absorbed into the ocean -- by transporting people via virtual ""field trips"" to underwater ecosystems being destroyed. Credit: By Lauren Williams, The Lrange County Negister Caption: Nick Sadrpour (left), a science research and policy specialist for the Sea Grant program at the University of...",https://www.proquest.com/docview/1885017670?accountid=12492&bdid=39766&_bd=V79jBVELo3e%2BMRIbHpia6NuaWBY%3D
"Reps. Bonamici, Young Call for Investment in Ocean, Coastal Recovery",,,Targeted News Service,Wire Feeds,,,,6/24/2020,24-Jun-20,,,,,,,ENG,,https://www.proquest.com/docview/2416206952?accountid=12492&bdid=39766&_bd=4iUjz%2FaUASsu9l6br9TQSZ4f0ZU%3D
"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative",,,Targeted News Service,Wire Feeds,,,,10/2/2018,2-Oct-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2115766418?accountid=12492&bdid=39766&_bd=GDFArvoLWR%2F0EVxlEdeZsjtQfmo%3D
Deeper EPA cuts pose a particular menace to Maine,Critics say both the environment and the economy would be hard hit by losses in funding for Superfund sites and water quality monitoring.,"Woodard, Colin",Portland Press Herald,Newspapers,,,,4/16/2017,16-Apr-17,A.1,,,26895900,,,ENG,"The new and deeper cuts being proposed by the Trump administration would slash funding for the Environmental Protection Agency's Superfund cleanup activities and entirely eliminate its support for monitoring and cleanup efforts in Casco Bay and for beach water testing across Maine. When taken in conjunction with previously reported proposals to eliminate federal funding for the University of Maine's Sea Grant program, the Wells Reserve at Laudholm Farm via the National Oceanic and Atmospheric Administration, critics say the president's budget proposals are a serous threat to Maine's coastal economy, which is dependent on maintaining a clean environment. When taken in conjunction with previously reported proposals to eliminate federal funding for the University of Maine's Sea Grant program and the Wells Reserve at Laudholm Farm via the National Oceanic and Atmospheric Administration, critics say the president's budget proposals are a serious threat to Maine's coastal economy, which is dependent on maintaining a clean environment. Earlier in the budget process, the White House proposed to cut EPA's budget by 25 percent, including slashing nearly a third of state grant funds for cleaning up abandoned industrial sites, mitigating radon in homes, and protecting air and water quality. CASCO BAY CLEANUP AT RISK The confidential memo from the agency's chief financial officer, David Bloom, revealed the administration is seeking to eliminate the $20.5 million National Estuary Program, which provides about three-quarters of the budget of the Casco Bay Estuary Partnership, which funds research and fosters collaboration and data sharing among 50 organizations and municipalities...",https://www.proquest.com/docview/1888398756?accountid=12492&bdid=39766&_bd=BsrIVe2YBbmVASiDpWbdV2GUBhA%3D
Nicholls Chemistry Student Receives Grant for Research That Led to Publication and a Bombshell Discovery,,,Targeted News Service,Wire Feeds,,,,9/20/2022,20-Sep-22,,,,,,,ENG,,https://www.proquest.com/docview/2715900690?accountid=12492&bdid=39766&_bd=VLSVjKAB5BVVHnGuNI%2BDZXBdmUE%3D
